000000000000.jpg,14.772205352783203
000000000001.jpg,14.88477897644043
000000000002.jpg,25.257152557373047
000000000003.jpg,23.83661651611328
000000000004.jpg,20.288219451904297
000000000005.jpg,25.346132278442383
000000000006.jpg,18.724777221679688
000000000007.jpg,14.749423027038574
000000000008.jpg,14.823633193969727
000000000009.jpg,20.916404724121094
000000000010.jpg,25.77720069885254
000000000011.jpg,21.866548538208008
000000000012.jpg,27.701019287109375
000000000013.jpg,20.04236602783203
000000000014.jpg,22.26415252685547
000000000015.jpg,24.160884857177734
000000000016.jpg,24.018030166625977
000000000017.jpg,16.649259567260742
000000000018.jpg,20.60808563232422
000000000019.jpg,21.327587127685547
Average artist clip-similarity score of 20 images edited by blended-latent-diffusion:20.900723886489867
