file_id,1_directinversion+p2p|clip_similarity_target_image
911000000000,29.605255126953125
911000000001,21.424331665039062
911000000002,23.794872283935547
911000000003,28.877241134643555
911000000004,29.626296997070312
911000000005,30.193370819091797
911000000006,30.5137996673584
911000000007,28.685033798217773
911000000008,32.1660270690918
911000000009,28.356821060180664
912000000000,26.660186767578125
912000000001,25.58131217956543
912000000002,32.497650146484375
912000000003,21.039302825927734
912000000004,26.846694946289062
912000000005,29.683879852294922
912000000006,29.371469497680664
912000000007,27.829256057739258
912000000008,21.46029281616211
912000000009,26.617816925048828
913000000000,27.138042449951172
913000000001,27.349407196044922
913000000002,31.22464942932129
913000000003,23.30725860595703
913000000004,26.585514068603516
913000000005,31.750185012817383
913000000006,28.15212059020996
913000000007,26.312395095825195
913000000008,30.63201332092285
913000000009,27.866893768310547
914000000000,32.49003982543945
914000000001,24.63714027404785
914000000002,23.860071182250977
914000000003,27.06865119934082
914000000004,28.23043441772461
914000000005,19.83061981201172
914000000006,25.238737106323242
914000000007,26.816017150878906
914000000008,26.899477005004883
914000000009,31.26543426513672
921000000000,20.76959991455078
921000000001,28.85277557373047
921000000002,32.607810974121094
921000000003,28.746414184570312
921000000004,22.76527214050293
921000000005,24.12049102783203
921000000006,27.487171173095703
921000000007,26.333009719848633
921000000008,35.274662017822266
921000000009,29.40747833251953
922000000000,24.56987762451172
922000000001,29.76289939880371
922000000002,30.671714782714844
922000000003,22.482744216918945
922000000004,23.870763778686523
922000000005,29.571447372436523
922000000006,20.494388580322266
922000000007,29.675472259521484
922000000008,31.01161766052246
922000000009,20.65652847290039
923000000000,27.418773651123047
923000000001,17.699569702148438
923000000002,25.6236515045166
923000000003,22.202882766723633
923000000004,23.858003616333008
923000000005,23.64133644104004
923000000006,22.53998374938965
923000000007,15.44019603729248
923000000008,24.4089298248291
923000000009,22.105369567871094
924000000000,21.90140724182129
924000000001,27.290010452270508
924000000002,20.790000915527344
924000000003,22.42424964904785
924000000004,25.59602928161621
924000000005,26.67752456665039
924000000006,32.701332092285156
924000000007,25.846641540527344
924000000008,18.626842498779297
924000000009,18.87101173400879
